"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"915","038880","아이에이",1660,-70,-4.05,"KOSDAQ","반도체",457254976300,7,237.14,236,7.03,0,0
"228","003800","에이스침대",41000,200,0.49,"KOSDAQ","기타제조",4.5469e+11,4130,9.93,42247,0.97,1100,2.68
"600","016710","대성홀딩스",28250,0,0,"KOSPI","서비스업",454527216750,837,33.75,26020,1.09,250,0.88
"1505","093050","LF",15450,-450,-2.83,"KOSPI","섬유의복",4.51758e+11,2313,6.68,41768,0.37,500,3.24
"1559","099320","쎄트렉아이",62100,-3600,-5.48,"KOSDAQ","통신장비",451373042700,992,62.6,8775,7.08,210,0.34
"989","044340","위닉스",25250,-500,-1.94,"KOSDAQ","일반전기전자",451303981250,2478,10.19,8541,2.96,500,1.98
"2141","272290","이녹스첨단소재",47400,400,0.85,"KOSDAQ","IT부품",450418168200,3655,12.97,18500,2.56,0,0
"2091","256840","한국비엔씨",8730,960,12.36,"KOSDAQ","제약",449871182280,NA,NA,558,15.65,0,0
"1675","119860","다나와",34400,-1250,-3.51,"KOSDAQ","인터넷",449773876800,1822,18.88,8387,4.1,400,1.16
"1166","059090","미코",14350,-700,-4.65,"KOSDAQ","반도체",449393253050,259,55.41,2955,4.86,40,0.28
"184","003060","에이프로젠제약",1125,-10,-0.88,"KOSPI","의약품",448397737875,NA,NA,968,1.16,0,0
"1185","060720","KH바텍",18900,-800,-4.06,"KOSDAQ","IT부품",447436766700,NA,NA,7998,2.36,0,0
"2008","225570","넷게임즈",15500,850,5.8,"KOSDAQ","디지털컨텐츠",447001896000,NA,NA,1323,11.72,0,0
"1734","131370","알서포트",8370,-510,-5.74,"KOSDAQ","디지털컨텐츠",445845484710,166,50.42,1163,7.2,20,0.24
"1374","080160","모두투어",23550,-350,-1.46,"KOSDAQ","기타서비스",4.45095e+11,101,233.17,6567,3.59,120,0.51
"2109","263720","디앤씨미디어",36200,-1250,-3.34,"KOSDAQ","디지털컨텐츠",444359018200,404,89.6,3383,10.7,0,0
"87","001360","삼성제약",7200,-540,-6.98,"KOSPI","의약품",443157933600,118,61.02,2421,2.97,0,0
"361","006730","서부T&D",7620,-220,-2.81,"KOSDAQ","숙박·음식",443030183280,1,7620,11369,0.67,0,0
"254","004430","송원산업",18400,150,0.82,"KOSPI","화학",4.416e+11,1448,12.71,17983,1.02,150,0.82
"30","000370","한화손해보험",3780,30,0.8,"KOSPI","보험",441273098700,NA,NA,12154,0.31,0,0
"2307","339770","교촌에프앤비",17600,-600,-3.3,"KOSPI","유통업",439692704000,1411,12.47,3835,4.59,96,0.55
"2324","347860","알체라",32750,-800,-2.38,"KOSDAQ","소프트웨어",437828003500,NA,NA,997,32.85,0,0
"755","029960","코엔텍",8730,70,0.81,"KOSDAQ","기타서비스",4.365e+11,485,18,3056,2.86,540,6.19
"1609","104830","원익머트리얼즈",34600,-1900,-5.21,"KOSDAQ","반도체",436236800000,2229,15.52,24386,1.42,150,0.43
"1188","060980","한라홀딩스",41600,-550,-1.3,"KOSPI","기타금융",435638112000,3921,10.61,84613,0.49,2000,4.81
"876","036630","세종텔레콤",725,-17,-2.29,"KOSDAQ","통신서비스",435236441350,4,181.25,557,1.3,0,0
"454","009680","모토닉",13150,-300,-2.23,"KOSPI","운수장비",4.3395e+11,514,25.58,12362,1.06,300,2.28
"1453","089010","켐트로닉스",29150,-750,-2.51,"KOSDAQ","화학",433115276550,1235,23.6,6618,4.4,300,1.03
"1905","200230","텔콘RF제약",4940,-60,-1.2,"KOSDAQ","통신장비",432294519280,NA,NA,1337,3.69,0,0
"761","030520","한글과컴퓨터",17450,-400,-2.24,"KOSDAQ","소프트웨어",428841672300,864,20.2,9633,1.81,0,0
"337","006060","화승인더",7740,-20,-0.26,"KOSPI","화학",428176800000,1092,7.09,5972,1.3,45,0.58
"1302","071320","지역난방공사",36950,-550,-1.47,"KOSPI","전기가스업",427834590800,NA,NA,132086,0.28,0,0
"1838","174900","앱클론",27900,-600,-2.11,"KOSDAQ","제약",426258125100,179,155.87,2337,11.94,0,0
"142","002270","롯데푸드",376000,-12000,-3.09,"KOSPI","음식료품",425583120000,41242,9.12,625100,0.6,12000,3.19
"720","025860","남해화학",8550,-150,-1.72,"KOSPI","화학",424754107650,335,25.52,8735,0.98,60,0.7
"1746","136490","선진",17850,-1150,-6.05,"KOSPI","음식료품",424465931400,899,19.86,13439,1.33,50,0.28
"1381","080580","오킨스전자",24000,1550,6.9,"KOSDAQ","반도체",424303152000,18,1333.33,1845,13.01,0,0
"1208","064550","바이오니아",16800,450,2.75,"KOSDAQ","제약",422218238400,NA,NA,1355,12.4,0,0
"785","032620","유비케어",8070,-290,-3.47,"KOSDAQ","소프트웨어",421230911730,133,60.68,1965,4.11,40,0.5
"1454","089030","테크윙",21700,-650,-2.91,"KOSDAQ","반도체",420727585600,584,37.16,9076,2.39,230,1.06
"1709","126560","현대퓨처넷",3710,-60,-1.59,"KOSPI","서비스업",418772171160,343,10.82,6569,0.56,60,1.62
"221","003620","쌍용차",2770,0,0,"KOSPI","운수장비",415056805540,NA,NA,2690,1.03,0,0
"1968","216050","인크로스",51500,-2800,-5.16,"KOSDAQ","기타서비스",414924015500,1240,41.53,8160,6.31,0,0
"366","006840","AK홀딩스",31250,-400,-1.26,"KOSPI","기타금융",413986281250,2168,14.41,62448,0.5,750,2.4
"241","004140","동방",10350,1150,12.5,"KOSPI","운수창고업",411687613350,NA,NA,2695,3.84,0,0
"828","034120","SBS",22550,-1100,-4.65,"KOSPI","서비스업",411595724100,1114,20.24,31799,0.71,150,0.67
"2160","284620","카이노스메드",3915,-65,-1.63,"KOSDAQ","기타서비스",411366636180,NA,NA,NA,NA,0,0
"859","036030","KTH",11500,650,5.99,"KOSDAQ","유통",410722753000,40,287.5,5741,2,0,0
"1101","053210","스카이라이프",8540,70,0.83,"KOSPI","서비스업",408399589640,1147,7.45,14620,0.58,350,4.1
"2121","265520","AP시스템",28200,-700,-2.42,"KOSDAQ","반도체",408342401400,671,42.03,7468,3.78,50,0.18
"2074","249420","일동제약",17150,-550,-3.11,"KOSPI","의약품",408226337750,NA,NA,10643,1.61,0,0
"805","033180","필룩스",4365,-485,-10,"KOSPI","전기전자",407653635600,NA,NA,3111,1.4,0,0
"104","001530","DI동일",165000,-7500,-4.35,"KOSPI","유통업",406825485000,6765,24.39,195965,0.84,1500,0.91
"841","035080","인터파크",5000,0,0,"KOSDAQ","유통",405945815000,NA,NA,5001,1,70,1.4
"1","000020","동화약품",14500,50,0.35,"KOSPI","의약품",405006315000,341,42.52,10772,1.35,120,0.83
"839","034950","한국기업평가",88700,-2000,-2.21,"KOSDAQ","기타서비스",402743591800,4563,19.44,23591,3.76,8618,9.72
"2265","321550","티움바이오",16800,-750,-4.27,"KOSDAQ","기타서비스",399569956800,NA,NA,3943,4.26,0,0
"2269","322310","오로스테크놀로지",42900,-6950,-13.94,"KOSDAQ","기계·장비",399379351800,1028,41.73,2564,16.73,0,0
"144","002310","아세아제지",44500,-1250,-2.73,"KOSPI","종이목재",398564339000,6860,6.49,65302,0.68,600,1.35
"2289","332570","와이팜",10700,-500,-4.46,"KOSDAQ","IT부품",397412509200,339,31.56,1389,7.7,0,0
"1342","078070","유비쿼스홀딩스",21200,-650,-2.97,"KOSDAQ","일반전기전자",396368513600,424,50,10715,1.98,130,0.61
"1840","175250","아이큐어",52500,-4700,-8.22,"KOSDAQ","제약",396348172500,NA,NA,15129,3.47,0,0
"2201","298060","에스씨엠생명과학",33350,-1700,-4.85,"KOSDAQ","제약",396143139250,NA,NA,1704,19.57,0,0
"89","001390","KG케미칼",28450,-400,-1.39,"KOSPI","화학",394490431200,7691,3.7,26210,1.09,350,1.23
"1959","215000","골프존",62800,-1900,-2.94,"KOSDAQ","소프트웨어",394096062000,2585,24.29,31877,1.97,2050,3.26
"98","001510","SK증권",828,-22,-2.59,"KOSPI","증권",391304661588,67,12.36,1197,0.69,10,1.21
"1926","206640","바디텍메드",16650,-150,-0.89,"KOSDAQ","제약",391051224000,507,32.84,3134,5.31,50,0.3
"974","043150","바텍",26300,-100,-0.38,"KOSDAQ","의료·정밀기기",390666932800,2281,11.53,16730,1.57,100,0.38
"1014","046440","KG모빌리언스",9940,-260,-2.55,"KOSDAQ","소프트웨어",385926145920,619,16.06,7541,1.32,200,2.01
"2149","277810","레인보우로보틱스",24750,-1850,-6.95,"KOSDAQ","기계·장비",385716375000,NA,NA,623,39.73,0,0
"1692","122990","와이솔",13650,-700,-4.88,"KOSDAQ","반도체",384546994650,1228,11.12,12099,1.13,250,1.83
"1549","097780","에스맥",1465,-40,-2.66,"KOSDAQ","IT부품",382578306930,NA,NA,950,1.54,0,0
"150","002390","한독",27750,-200,-0.72,"KOSPI","의약품",381938040750,2544,10.91,24757,1.12,275,0.99
"2203","298540","더네이쳐홀딩스",52500,1200,2.34,"KOSDAQ","유통",381797220000,3167,16.58,12200,4.3,0,0
"889","037270","YG PLUS",6010,0,0,"KOSPI","서비스업",380734101000,NA,NA,1562,3.85,0,0
"141","002240","고려제강",16500,-950,-5.44,"KOSPI","철강금속",3.795e+11,434,38.02,59916,0.28,350,2.12
"2205","299030","하나기술",100500,-5000,-4.74,"KOSDAQ","기계·장비",378153963000,2149,46.77,5760,17.45,0,0
"947","041190","우리기술투자",4500,-260,-5.46,"KOSDAQ","금융",3.78e+11,140,32.14,899,5.01,0,0
"1884","192440","슈피겐코리아",60800,-1400,-2.25,"KOSDAQ","IT부품",377954870400,6690,9.09,47368,1.28,1300,2.14
"120","001780","알루코",4540,-115,-2.47,"KOSPI","철강금속",377761064820,NA,NA,2755,1.65,0,0
"2186","293480","하나제약",23250,-450,-1.9,"KOSPI","의약품",3.7665e+11,1778,13.08,13601,1.71,460,1.98
"751","029460","케이씨",27750,-750,-2.63,"KOSPI","의료정밀",376124721000,4054,6.85,33184,0.84,250,0.9
"1341","078020","이베스트투자증권",6760,-190,-2.73,"KOSDAQ","금융",375052844400,1132,5.97,9264,0.73,345,5.1
"675","023410","유진기업",4830,-140,-2.82,"KOSDAQ","비금속",373411468290,272,17.76,9929,0.49,150,3.11
"164","002780","진흥기업",2560,-40,-1.54,"KOSPI","건설업",372407667200,140,18.29,664,3.86,0,0
"1755","138250","엔에스쇼핑",11050,-400,-3.49,"KOSPI","유통업",372340800000,NA,NA,12609,0.88,150,1.36
"1001","045390","대아티아이",5220,-170,-3.15,"KOSDAQ","일반전기전자",371410944840,30,174,1327,3.93,20,0.38
"865","036200","유니셈",12000,-600,-4.76,"KOSDAQ","반도체",367970676000,749,16.02,4198,2.86,50,0.42
"725","025950","동신건설",43700,700,1.63,"KOSDAQ","건설",3.6708e+11,100,437,10388,4.21,0,0
"2267","322000","현대에너지솔루션",32500,-1300,-3.85,"KOSPI","전기전자",3.64e+11,2788,11.66,28380,1.15,0,0
"1608","104700","한국철강",7900,-130,-1.62,"KOSPI","철강금속",3.63795e+11,415,19.04,15742,0.5,200,2.53
"78","001200","유진투자증권",3755,-115,-2.97,"KOSPI","증권",363733399590,427,8.79,8151,0.46,70,1.86
"1253","067000","조이시티",8080,-150,-1.82,"KOSDAQ","디지털컨텐츠",361683343200,NA,NA,758,10.66,0,0
"1195","063160","종근당바이오",65900,-1100,-1.64,"KOSPI","의약품",361524895800,2280,28.9,28890,2.28,200,0.3
"1509","093320","케이아이엔엑스",74000,-2800,-3.65,"KOSDAQ","인터넷",3.6112e+11,3291,22.49,16719,4.43,500,0.68
"452","009580","무림P&P",5780,-10,-0.17,"KOSPI","종이목재",360488912720,162,35.68,9842,0.59,175,3.03
"960","042040","케이피엠테크",2565,55,2.19,"KOSDAQ","화학",359640668655,NA,NA,1132,2.27,0,0
"2164","285490","노바텍",35700,-1500,-4.03,"KOSDAQ","기타제조",358945078800,548,65.15,2838,12.58,242,0.68
"1759","138610","나이벡",36200,-1900,-4.99,"KOSDAQ","제약",358487839800,NA,NA,2767,13.08,0,0
"2023","228670","레이",53800,500,0.94,"KOSDAQ","의료·정밀기기",357945764600,1915,28.09,8647,6.22,0,0
"905","038290","마크로젠",33650,150,0.45,"KOSDAQ","기타서비스",357755157100,NA,NA,10686,3.15,0,0
"1908","200710","에이디테크놀로지",26800,-850,-3.07,"KOSDAQ","반도체",356257250800,803,33.37,5518,4.86,0,0
"930","039560","다산네트웍스",10150,-550,-5.14,"KOSDAQ","통신장비",356164190200,51,199.02,5002,2.03,0,0
"595","016580","환인제약",19100,-400,-2.05,"KOSPI","의약품",355261337000,1225,15.59,14719,1.3,300,1.57
"12","000140","하이트진로홀딩스",15300,-350,-2.24,"KOSPI","기타금융",355063504500,NA,NA,18398,0.83,350,2.29
"308","005500","삼진제약",25500,200,0.79,"KOSPI","의약품",3.5445e+11,917,27.81,14207,1.79,800,3.14
"1578","101160","월덱스",21400,-600,-2.73,"KOSDAQ","반도체",353335250200,1180,18.14,5433,3.94,50,0.23
"855","035890","서희건설",1535,-10,-0.65,"KOSDAQ","건설",352755981495,331,4.64,1826,0.84,30,1.95
"1412","084680","이월드",3420,-70,-2.01,"KOSPI","서비스업",352738447740,27,126.67,2729,1.25,0,0
"1413","084690","대상홀딩스",9700,-300,-3,"KOSPI","기타금융",351261618600,1946,4.98,15703,0.62,200,2.06
"1816","161000","애경유화",10950,-200,-1.79,"KOSPI","화학",3.50838e+11,966,11.34,11336,0.97,350,3.2
"896","037560","LG헬로비전",4520,-145,-3.11,"KOSPI","서비스업",350059829800,NA,NA,12283,0.37,75,1.66
"265","004700","조광피혁",52600,-900,-1.68,"KOSPI","기타제조업",349744658800,4076,12.9,41361,1.27,0,0
"1890","194700","노바렉스",38800,-850,-2.14,"KOSDAQ","음식료·담배",349345112000,1850,20.97,10195,3.81,200,0.52
"2207","299660","셀리드",36000,-650,-1.77,"KOSDAQ","기타서비스",349152912000,NA,NA,5359,6.72,0,0
"500","011280","태림포장",4930,-240,-4.64,"KOSPI","종이목재",349073284200,270,18.26,4325,1.14,290,5.88
"1780","143240","사람인에이치알",29850,-1250,-4.02,"KOSDAQ","인터넷",348029000550,2314,12.9,9543,3.13,580,1.94
"2306","338220","뷰노",32150,-750,-2.28,"KOSDAQ","소프트웨어",348025968350,NA,NA,610,52.7,0,0
"1858","183190","아세아시멘트",89200,-2900,-3.15,"KOSPI","비금속광물",347506162800,7159,12.46,204892,0.44,1500,1.68
"1969","216080","제테마",19750,0,0,"KOSDAQ","제약",346935590250,NA,NA,2019,9.78,0,0
"358","006620","동구바이오제약",36050,-5450,-13.13,"KOSDAQ","제약",346224200000,1585,22.74,8918,4.04,100,0.28
"2066","245620","EDGC",8050,160,2.03,"KOSDAQ","기타서비스",345622974550,NA,NA,1090,7.39,0,0
"1350","078590","OQP",4390,-5,-0.11,"KOSDAQ","운송장비·부품",345601156430,NA,NA,442,9.93,0,0
"1461","089600","나스미디어",39350,-850,-2.11,"KOSDAQ","기타서비스",344497090850,2156,18.25,14753,2.67,660,1.68
"97","001500","현대차증권",11450,-350,-2.97,"KOSPI","증권",344039409500,2315,4.95,25525,0.45,600,5.24
"397","007810","코리아써키트",14550,-450,-3,"KOSPI","전기전자",343681927050,25,582,12169,1.2,0,0
"1027","047920","에이치엘비제약",15400,0,0,"KOSDAQ","기타서비스",343668925600,34,452.94,1293,11.91,0,0
"603","016800","퍼시스",29800,-100,-0.33,"KOSPI","기타제조업",3.427e+11,3601,8.28,38601,0.77,1000,3.36
"911","038540","상상인",6190,-230,-3.58,"KOSDAQ","컴퓨터서비스",342482257470,2282,2.71,9501,0.65,200,3.23
"1260","067310","하나마이크론",10750,-550,-4.87,"KOSDAQ","반도체",342472414250,NA,NA,5238,2.05,50,0.47
"1187","060900","대한그린파워",2230,55,2.53,"KOSDAQ","화학",341830088050,NA,NA,188,11.86,0,0
"1313","072710","농심홀딩스",73700,-200,-0.27,"KOSPI","기타금융",341805123000,7887,9.34,198514,0.37,2000,2.71
"264","004690","삼천리",84000,100,0.12,"KOSPI","전기가스업",340622100000,10614,7.91,316716,0.27,3000,3.57
"718","025770","한국정보통신",9080,-40,-0.44,"KOSDAQ","통신서비스",339993980680,649,13.99,5319,1.71,0,0
"1567","100130","동국S&C",5940,-260,-4.19,"KOSDAQ","금속",339429420000,171,34.74,4582,1.3,100,1.68
"1273","068290","삼성출판사",33900,2400,7.62,"KOSPI","서비스업",3.39e+11,487,69.61,9069,3.74,100,0.29
"383","007460","에이프로젠 KIC",1845,-15,-0.81,"KOSPI","기계",338880585330,86,21.45,1973,0.94,0,0
"2059","241820","피씨엘",33600,650,1.97,"KOSDAQ","제약",338650939200,NA,NA,611,54.99,0,0
"2249","317330","덕산테코피아",18400,-550,-2.9,"KOSDAQ","반도체",338144675200,696,26.44,7900,2.33,0,0
"193","003220","대원제약",16650,0,0,"KOSPI","의약품",337055989950,1306,12.75,9660,1.72,260,1.56
"1081","052260","현대바이오랜드",22400,-500,-2.18,"KOSDAQ","화학",3.36e+11,723,30.98,10382,2.16,350,1.56
"1406","084010","대한제강",13600,0,0,"KOSPI","철강금속",335195582400,1340,10.15,18665,0.73,200,1.47
"1958","214870","뉴지랩",11200,150,1.36,"KOSDAQ","통신장비",334917452800,NA,NA,2710,4.13,0,0
"1090","052710","아모텍",34300,-800,-2.28,"KOSDAQ","IT부품",334198825800,37,927.03,20412,1.68,0,0
"1021","047310","파워로직스",9700,-50,-0.51,"KOSDAQ","IT부품",333883525400,1611,6.02,6981,1.39,50,0.52
"1735","131390","피앤이솔루션",22450,-550,-2.39,"KOSDAQ","일반전기전자",332684529500,1096,20.48,5497,4.08,0,0
"1363","079430","현대리바트",16200,-250,-1.52,"KOSPI","기타제조업",332671568400,968,16.74,22301,0.73,150,0.93
"1527","095340","ISC",20750,-1050,-4.82,"KOSDAQ","반도체",332147719250,311,66.72,12011,1.73,50,0.24
"1052","049950","미래컴퍼니",39700,-1100,-2.7,"KOSDAQ","기계·장비",331983548200,1619,24.52,13519,2.94,220,0.55
"1543","096760","JW홀딩스",4850,-75,-1.52,"KOSPI","기타금융",331939732700,NA,NA,2191,2.21,90,1.86
"1557","099190","아이센스",24050,-400,-1.64,"KOSDAQ","의료·정밀기기",330380573900,1723,13.96,14454,1.66,200,0.83
"3","000050","경방",12050,200,1.69,"KOSPI","유통업",330354003500,1630,7.39,27050,0.45,125,1.04
"138","002210","동성제약",12650,-350,-2.69,"KOSPI","의약품",330177270500,NA,NA,2689,4.7,0,0
"2032","234080","JW생명과학",20700,-300,-1.43,"KOSPI","의약품",327775267800,1385,14.95,7744,2.67,500,2.42
"1582","101360","이엔드디",31600,-1400,-4.24,"KOSDAQ","화학",326124102800,1047,30.18,1572,20.1,0,0
"2060","241840","에이스토리",34650,-2100,-5.71,"KOSDAQ","오락·문화",324820881000,NA,NA,4143,8.36,0,0
"1488","091810","티웨이항공",2940,40,1.38,"KOSPI","운수창고업",324371020260,NA,NA,2357,1.25,0,0
"178","002960","한국쉘석유",249500,3500,1.42,"KOSPI","화학",3.2435e+11,16174,15.43,75323,3.31,16000,6.41
"2063","243840","신흥에스이씨",45400,0,0,"KOSDAQ","IT부품",323488710800,2446,18.56,15448,2.94,280,0.62
"1111","053610","프로텍",29250,-700,-2.34,"KOSDAQ","반도체",3.2175e+11,3720,7.86,18797,1.56,400,1.37
"393","007690","국도화학",55300,1100,2.03,"KOSPI","화학",321327064800,6219,8.89,88911,0.62,1500,2.71
"1595","102460","이연제약",17900,-200,-1.1,"KOSPI","의약품",320567430500,352,50.85,12879,1.39,350,1.96
"179","002990","금호산업",8740,-220,-2.46,"KOSPI","건설업",320180495760,332,26.33,10364,0.84,500,5.72
"304","005420","코스모화학",12250,-350,-2.78,"KOSPI","화학",319857606250,NA,NA,5351,2.29,0,0
"331","005950","이수화학",12300,-600,-4.65,"KOSPI","화학",318629741100,NA,NA,18013,0.68,400,3.25
"1078","052020","에스티큐브",10450,150,1.46,"KOSDAQ","IT부품",317523344050,NA,NA,1029,10.16,0,0
"1566","100120","뷰웍스",31700,-200,-0.63,"KOSDAQ","의료·정밀기기",317059120500,2457,12.9,16139,1.96,400,1.26
"1394","082920","비츠로셀",14700,-600,-3.92,"KOSDAQ","IT부품",316625534400,936,15.71,6567,2.24,100,0.68
"1664","115960","연우",25500,-800,-3.04,"KOSDAQ","화학",3.16149e+11,1355,18.82,16906,1.51,160,0.63
"35","000480","조선내화",78800,-600,-0.76,"KOSPI","비금속광물",3.152e+11,7493,10.52,147942,0.53,4000,5.08
"648","019680","대교",3720,-20,-0.53,"KOSPI","서비스업",315094602000,190,19.58,5848,0.64,170,4.57
"2044","237880","클리오",18300,-850,-4.44,"KOSDAQ","화학",314957987700,177,103.39,8563,2.14,220,1.2
"197","003300","한일홀딩스",10900,-50,-0.46,"KOSPI","비금속광물",314092002000,461,23.64,33397,0.33,460,4.22
"1988","220630","해마로푸드서비스",3080,-40,-1.28,"KOSDAQ","유통",313597995480,148,20.81,861,3.58,50,1.62
"1407","084110","휴온스글로벌",27300,-450,-1.62,"KOSDAQ","제약",312970667100,2231,12.24,31494,0.87,400,1.47
"1943","213500","한솔제지",13100,-300,-2.24,"KOSPI","종이목재",311787545600,1683,7.78,24810,0.53,600,4.58
"2204","298690","에어부산",3795,-40,-1.04,"KOSPI","운수창고업",311455650000,NA,NA,1862,2.04,0,0
"2035","234340","세틀뱅크",32950,-550,-1.64,"KOSDAQ","소프트웨어",310883250000,1466,22.48,11939,2.76,380,1.15
"1681","121600","나노신소재",28600,-1100,-3.7,"KOSDAQ","화학",310262323800,541,52.87,8591,3.33,120,0.42
"2143","272550","삼양패키징",21800,100,0.46,"KOSPI","화학",309773727200,1998,10.91,20142,1.08,750,3.44
"507","011500","한농화성",19800,-2650,-11.8,"KOSPI","화학",309613431600,652,30.37,7692,2.57,150,0.76
"812","033310","엠투엔",13950,100,0.72,"KOSDAQ","금속",309547975050,200,69.75,2544,5.48,0,0
"944","040910","아이씨디",17150,-750,-4.19,"KOSDAQ","반도체",309478832950,701,24.47,8394,2.04,150,0.87
"1972","217330","싸이토젠",54900,-1100,-1.96,"KOSDAQ","기타서비스",309299133600,NA,NA,3181,17.26,0,0
"2211","300120","라온피플",29450,1050,3.7,"KOSDAQ","IT부품",309150079200,989,29.78,6090,4.84,150,0.51
"816","033500","동성화인텍",11200,-100,-0.88,"KOSDAQ","화학",307927569600,634,17.67,3517,3.18,220,1.96
"1337","077360","덕산하이메탈",13550,-850,-5.9,"KOSDAQ","일반전기전자",307835688550,563,24.07,8904,1.52,0,0
"260","004560","현대비앤지스틸",20400,1200,6.25,"KOSPI","철강금속",307607744400,1433,14.24,26531,0.77,100,0.49
"1952","214390","경보제약",12850,0,0,"KOSPI","의약품",307203151000,221,58.14,6239,2.06,100,0.78
"266","004710","한솔테크닉스",9520,-400,-4.03,"KOSPI","전기전자",305686038560,245,38.86,8145,1.17,0,0
"1694","123040","엠에스오토텍",8800,-370,-4.03,"KOSDAQ","운송장비·부품",305599395200,552,15.94,4849,1.81,75,0.85
"1323","073490","이노와이어리스",45350,-2500,-5.22,"KOSDAQ","통신장비",305547620400,2190,20.71,13479,3.36,250,0.55
"2314","340930","유일에너테크",28800,-5700,-16.52,"KOSDAQ","기계·장비",304993267200,1060,27.17,1277,22.55,0,0
"1691","122900","아이마켓코리아",8610,-130,-1.49,"KOSPI","유통업",304736657400,483,17.83,10185,0.85,600,6.97
"1338","077500","유니퀘스트",11100,-500,-4.31,"KOSPI","유통업",303326647500,953,11.65,7830,1.42,150,1.35
"1026","047820","초록뱀",2340,-80,-3.31,"KOSDAQ","오락·문화",303281840160,99,23.64,874,2.68,0,0
"1065","051370","인터플렉스",13000,-950,-6.81,"KOSDAQ","IT부품",303257136000,NA,NA,9337,1.39,0,0
"31","000390","삼화페인트",11200,100,0.9,"KOSPI","화학",302894513600,167,67.07,10625,1.05,125,1.12
"1396","083420","그린케미칼",12600,-400,-3.08,"KOSPI","화학",3.024e+11,236,53.39,4521,2.79,170,1.35
"1312","072520","제넨바이오",1785,-20,-1.11,"KOSDAQ","기타서비스",302249401860,NA,NA,215,8.3,0,0
"1362","079370","제우스",29050,-850,-2.84,"KOSDAQ","기계·장비",301655200000,1359,21.38,21560,1.35,200,0.69
"1778","143160","아이디스",28000,-1000,-3.45,"KOSDAQ","통신장비",300058920000,185,151.35,14218,1.97,250,0.89
"709","025000","KPX케미칼",61900,-800,-1.28,"KOSPI","화학",2.99596e+11,8571,7.22,96367,0.64,2500,4.04
"1745","136480","하림",2820,-60,-2.08,"KOSDAQ","음식료·담배",299511359640,NA,NA,2924,0.96,0,0
"928","039440","에스티아이",18900,-300,-1.56,"KOSDAQ","반도체",2.99187e+11,1529,12.36,10548,1.79,250,1.32
"156","002620","제일파마홀딩스",18650,-500,-2.61,"KOSPI","서비스업",297903070750,NA,NA,24634,0.76,70,0.38
"100","001520","동양",1245,-25,-1.97,"KOSPI","비금속광물",297161658435,NA,NA,3428,0.36,40,3.21
"355","006490","인스코비",2900,170,6.23,"KOSPI","통신업",296460988300,NA,NA,260,11.15,0,0
"1825","166480","코아스템",18850,750,4.14,"KOSDAQ","제약",296273744000,NA,NA,3671,5.13,0,0
"2259","318020","포인트모바일",46050,-2450,-5.05,"KOSDAQ","일반전기전자",296128485300,1713,26.88,7116,6.47,0,0
"1006","045970","코아시아",11250,-600,-5.06,"KOSDAQ","IT부품",296042355000,303,37.13,4597,2.45,60,0.53
"1605","104480","티케이케미칼",3255,85,2.68,"KOSDAQ","화학",295864637670,110,29.59,2989,1.09,0,0
"1161","058650","세아홀딩스",73900,-700,-0.94,"KOSPI","철강금속",2.956e+11,7707,9.59,491403,0.15,2250,3.04
"1442","087010","펩트론",14300,50,0.35,"KOSDAQ","제약",294963997900,NA,NA,1743,8.2,0,0
"1636","110790","크리스에프앤씨",25150,400,1.62,"KOSDAQ","섬유·의류",294644322000,2140,11.75,18523,1.36,400,1.59
"1533","095720","웅진씽크빅",2550,-70,-2.67,"KOSPI","서비스업",294540261750,NA,NA,3510,0.73,310,12.16
"490","011040","경동제약",9570,-130,-1.34,"KOSDAQ","제약",294457090620,850,11.26,8539,1.12,400,4.18
"710","025320","시노펙스",4005,-95,-2.32,"KOSDAQ","IT부품",293338046790,89,45,1142,3.51,0,0
"554","014160","대영포장",2695,100,3.85,"KOSPI","종이목재",292123309555,100,26.95,1389,1.94,0,0
"1496","092220","KEC",2500,-140,-5.3,"KOSPI","전기전자",291767350000,NA,NA,1782,1.4,0,0
"2079","251370","와이엠티",19500,-600,-2.99,"KOSDAQ","화학",291622071000,900,21.67,5222,3.73,0,0
"2218","304840","피플바이오",51600,1300,2.58,"KOSDAQ","제약",291409452000,NA,NA,542,95.2,0,0
"753","029530","신도리코",28800,-500,-1.71,"KOSPI","전기전자",290304835200,1473,19.55,86372,0.33,1000,3.47
"1267","067900","와이엔텍",15950,50,0.31,"KOSDAQ","기타서비스",290284561050,1012,15.76,7405,2.15,0,0
"1703","123860","아나패스",26600,-450,-1.66,"KOSDAQ","반도체",290063477200,NA,NA,5451,4.88,100,0.38
"1183","060570","드림어스컴퍼니",5100,-200,-3.77,"KOSDAQ","디지털컨텐츠",289985219700,NA,NA,2074,2.46,0,0
"450","009520","포스코엠텍",6960,10,0.14,"KOSDAQ","금속",289833212880,254,27.4,2160,3.22,80,1.15
"594","016450","한세예스24홀딩스",7240,-230,-3.08,"KOSPI","섬유의복",2.896e+11,513,14.11,6786,1.07,250,3.45
"1572","100700","세운메디칼",6600,-720,-9.84,"KOSDAQ","제약",2.8908e+11,219,30.14,2174,3.04,50,0.76
"2191","294140","레몬",8370,-190,-2.22,"KOSDAQ","화학",2.88765e+11,NA,NA,623,13.43,0,0
