"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"210","003530","한화투자증권",2780,-15,-0.54,"KOSPI","증권",596442814500,511,5.44,5265,0.53,0,0
"415","008490","서흥",51100,500,0.99,"KOSPI","화학",591181674300,2853,17.91,25552,2,400,0.78
"1170","060150","인선이엔티",12500,-250,-1.96,"KOSDAQ","기타서비스",582045150000,441,28.34,5361,2.33,0,0
"1749","137400","피엔티",25800,-200,-0.77,"KOSDAQ","기계·장비",581590591800,NA,NA,4258,6.06,0,0
"2189","293780","압타바이오",52400,-2600,-4.73,"KOSDAQ","기타서비스",581390209200,NA,NA,6907,7.59,0,0
"1916","204270","제이앤티씨",10050,-300,-2.9,"KOSDAQ","일반전기전자",581377083300,1691,5.94,5638,1.78,0,0
"286","005070","코스모신소재",19850,-1500,-7.03,"KOSPI","화학",580572105250,NA,NA,5026,3.95,0,0
"1859","183300","코미코",58000,-2000,-3.33,"KOSDAQ","반도체",580131428000,2515,23.06,13185,4.4,400,0.69
"287","005090","SGC에너지",39250,500,1.29,"KOSPI","전기가스업",576072407000,NA,NA,56341,0.7,1000,2.55
"290","005180","빙그레",58200,-900,-1.52,"KOSPI","음식료품",573342226200,4644,12.53,57976,1,1450,2.49
"2132","268280","미원에스씨",112000,-500,-0.44,"KOSPI","화학",5.712e+11,7559,14.82,47326,2.37,1700,1.52
"1733","131290","티에스이",51600,-4000,-7.19,"KOSDAQ","반도체",570769736400,1583,32.6,14862,3.47,200,0.39
"420","008730","율촌화학",22950,-550,-2.34,"KOSPI","화학",5.6916e+11,734,31.27,13790,1.66,500,2.18
"1788","145990","삼양사",54800,-2600,-4.53,"KOSPI","음식료품",565177005200,3375,16.24,104070,0.53,1000,1.82
"1893","195870","해성디에스",33100,-1300,-3.78,"KOSPI","전기전자",5.627e+11,1078,30.71,12267,2.7,350,1.06
"2104","263050","유틸렉스",37100,-1800,-4.63,"KOSDAQ","제약",562328224500,NA,NA,4300,8.63,0,0
"2131","267980","매일유업",71500,-1800,-2.46,"KOSDAQ","음식료·담배",560820117000,8206,8.71,51460,1.39,800,1.12
"2031","232140","와이아이케이",6870,-270,-3.78,"KOSDAQ","반도체",558155059860,NA,NA,1580,4.35,0,0
"779","032300","한국파마",51100,-5200,-9.24,"KOSDAQ","제약",557332421100,629,81.24,3028,16.88,50,0.1
"1230","065660","안트로젠",61200,-2400,-3.77,"KOSDAQ","유통",556524280800,NA,NA,7607,8.05,0,0
"462","009970","영원무역홀딩스",40800,-950,-2.28,"KOSPI","기타금융",556332153600,10421,3.92,100896,0.4,1000,2.45
"1346","078160","메디포스트",34150,-1150,-3.26,"KOSDAQ","제약",555422225100,NA,NA,7145,4.78,0,0
"464","010050","우리종금",635,-28,-4.22,"KOSPI","기타금융",555119162810,78,8.14,536,1.18,0,0
"570","014830","유니드",62300,-500,-0.8,"KOSPI","화학",553837218900,7600,8.2,79982,0.78,1200,1.93
"1955","214450","파마리서치프로덕트",56200,-2000,-3.44,"KOSDAQ","유통",550145846400,1766,31.82,21024,2.67,300,0.53
"2062","243070","휴온스",55600,-800,-1.42,"KOSDAQ","제약",549369366400,3525,15.77,17921,3.1,700,1.26
"2064","244460","올리패스",32500,550,1.72,"KOSDAQ","제약",548631427500,NA,NA,1214,26.77,0,0
"2262","319660","피에스케이",37150,-950,-2.49,"KOSDAQ","반도체",548520493000,1058,35.11,12682,2.93,300,0.81
"1491","092040","아미코젠",28400,-1700,-5.65,"KOSDAQ","음식료·담배",545692084000,5,5680,6354,4.47,0,0
