"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"79","003555","LG우","KOSPI","기타금융",66700,-800,-1.19,221088955900
"80","032640","LG유플러스","KOSPI","통신업",11800,-400,-3.28,5152014059800
"81","011070","LG이노텍","KOSPI","전기전자",199000,-9000,-4.33,4709754293000
"82","066570","LG전자","KOSPI","전기전자",146500,-7500,-4.87,23974404751000
"83","066575","LG전자우","KOSPI","전기전자",71400,-1800,-2.46,1227079828800
"84","108670","LG하우시스","KOSPI","화학",71500,-1700,-2.32,641188405000
"85","108675","LG하우시스우","KOSPI","화학",33850,-1000,-2.87,34944370500
"86","037560","LG헬로비전","KOSPI","서비스업",4520,-145,-3.11,350059829800
"87","051910","LG화학","KOSPI","화학",831000,-59000,-6.63,58662237033000
"88","051915","LG화학우","KOSPI","화학",389500,-25500,-6.14,2994787600000
"89","079550","LIG넥스원","KOSPI","기계",37000,-2300,-5.85,8.14e+11
"90","006260","LS","KOSPI","기타금융",69900,-2600,-3.59,2.25078e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",57500,-2400,-4.01,1.725e+12
"92","000680","LS네트웍스","KOSPI","유통업",2735,-130,-4.54,215526248760
"93","229640","LS전선아시아","KOSPI","기타금융",7260,-140,-1.89,222336621540
"94","023150","MH에탄올","KOSPI","음식료품",7990,280,3.63,58954422740
"95","035420","NAVER","KOSPI","서비스업",375000,-8000,-2.09,61598773125000
"96","181710","NHN","KOSPI","서비스업",69100,-300,-0.43,1351943227500
"97","005940","NH투자증권","KOSPI","증권",10850,-450,-3.98,3053286423950
"98","005945","NH투자증권우","KOSPI","증권",8390,-80,-0.94,158327421520
"99","338100","NH프라임리츠","KOSPI","서비스업",4215,20,0.48,78651900000
"100","034310","NICE","KOSPI","서비스업",16950,-200,-1.17,642104985000
"101","008260","NI스틸","KOSPI","철강금속",3220,-120,-3.59,92092376740
"102","004250","NPC","KOSPI","화학",3960,5,0.13,145411200000
"103","004255","NPC우","KOSPI","화학",2450,0,0,1.2936e+10
"104","010060","OCI","KOSPI","화학",125000,2500,2.04,2981171375000
"105","005490","POSCO","KOSPI","철강금속",281500,-1500,-0.53,24543094052500
"106","100840","S&TC","KOSPI","기계",15750,-100,-0.63,118230698250
"107","064960","S&T모티브","KOSPI","운수장비",62700,-2100,-3.24,916870627200
"108","003570","S&T중공업","KOSPI","운수장비",6990,-60,-0.85,232436352030
"109","036530","S&T홀딩스","KOSPI","기타금융",17500,-250,-1.41,285318005000
"110","010950","S-Oil","KOSPI","화학",85000,-3000,-3.41,9569537320000
"111","010955","S-Oil우","KOSPI","화학",47450,-1000,-2.06,190840436150
"112","034120","SBS","KOSPI","서비스업",22550,-1100,-4.65,411595724100
"113","101060","SBS미디어홀딩스","KOSPI","서비스업",1925,-20,-1.03,269300165750
"114","005090","SGC에너지","KOSPI","전기가스업",39250,500,1.29,576072407000
"115","004060","SG세계물산","KOSPI","유통업",670,-21,-3.04,135624723200
"116","001380","SG충방","KOSPI","운수장비",2440,-60,-2.4,109712508920
"117","002360","SH에너지화학","KOSPI","화학",935,-23,-2.4,103910037550
"118","009160","SIMPAC","KOSPI","기계",3200,-50,-1.54,209374451200
"119","123700","SJM","KOSPI","운수장비",4070,50,1.24,63511934860
"120","025530","SJM홀딩스","KOSPI","유통업",3375,-160,-4.53,50402277000
"121","034730","SK","KOSPI","기타금융",262500,-14500,-5.23,18469577962500
"122","011790","SKC","KOSPI","화학",117500,-3500,-2.89,4449525015000
"123","018670","SK가스","KOSPI","유통업",91600,-1700,-1.82,845490350400
"124","001740","SK네트웍스","KOSPI","유통업",5560,10,0.18,1379923317320
"125","001745","SK네트웍스우","KOSPI","유통업",106000,-1000,-0.93,12046688000
"126","006120","SK디스커버리","KOSPI","기타금융",65400,-800,-1.21,1245075717000
"127","006125","SK디스커버리우","KOSPI","기타금융",53700,-1300,-2.36,72949033500
"128","210980","SK디앤디","KOSPI","서비스업",35050,-1300,-3.58,665605248200
"129","068400","SK렌터카","KOSPI","서비스업",11300,-200,-1.74,534329992000
"130","326030","SK바이오팜","KOSPI","서비스업",118000,-8000,-6.35,9240963500000
"131","03473K","SK우","KOSPI","기타금융",242500,-9000,-3.58,137287737500
"132","096770","SK이노베이션","KOSPI","화학",260500,-9500,-3.52,24087279422000
"133","096775","SK이노베이션우","KOSPI","화학",191000,-3500,-1.8,238449366000
"134","001510","SK증권","KOSPI","증권",828,-22,-2.59,391304661588
"135","001515","SK증권우","KOSPI","증권",4885,-80,-1.61,19112630890
"136","285130","SK케미칼","KOSPI","화학",377000,-8500,-2.2,4426506292000
"137","28513K","SK케미칼우","KOSPI","화학",183000,-5500,-2.92,266936610000
"138","017670","SK텔레콤","KOSPI","통신업",247500,-4500,-1.79,19984563472500
"139","000660","SK하이닉스","KOSPI","전기전자",141500,-7000,-4.71,103012334647500
"140","005610","SPC삼립","KOSPI","음식료품",71200,-400,-0.56,614385440800
"141","011810","STX","KOSPI","유통업",5300,-220,-3.99,104552580600
"142","077970","STX엔진","KOSPI","기계",6470,-220,-3.29,148867608880
"143","071970","STX중공업","KOSPI","기계",3150,-110,-3.37,89352824400
"144","084870","TBH글로벌","KOSPI","섬유의복",1680,-10,-0.59,35039455920
"145","002710","TCC스틸","KOSPI","철강금속",4650,-120,-2.52,1.0695e+11
"146","024070","WISCOM","KOSPI","화학",3485,-155,-4.26,53412636430
"147","037270","YG PLUS","KOSPI","서비스업",6010,0,0,380734101000
"148","000500","가온전선","KOSPI","전기전자",20700,-500,-2.36,86119182900
"149","000860","강남제비스코","KOSPI","화학",22400,50,0.22,1.456e+11
"150","035250","강원랜드","KOSPI","서비스업",24200,-600,-2.42,5177360100000
"151","011420","갤럭시아에스엠","KOSPI","서비스업",1450,-30,-2.03,39946983800
"152","002100","경농","KOSPI","화학",13150,-150,-1.13,285246512500
"153","009450","경동나비엔","KOSPI","전기전자",50600,-100,-0.2,688399338000
"154","267290","경동도시가스","KOSPI","전기가스업",18400,-200,-1.08,108475470400
"155","012320","경동인베스트","KOSPI","기타금융",31700,150,0.48,74971229100
"156","000050","경방","KOSPI","유통업",12050,200,1.69,330354003500
"157","214390","경보제약","KOSPI","의약품",12850,0,0,307203151000
"158","012610","경인양행","KOSPI","화학",6870,-130,-1.86,283774727550
"159","009140","경인전자","KOSPI","전기전자",30000,-1550,-4.91,47123910000
"160","013580","계룡건설","KOSPI","건설업",28500,-350,-1.21,254530849500
"161","012200","계양전기","KOSPI","기계",4450,-160,-3.47,1.4507e+11
"162","012205","계양전기우","KOSPI","기계",6990,-210,-2.92,9.786e+09
"163","002140","고려산업","KOSPI","음식료품",4030,-90,-2.18,100505882750
"164","010130","고려아연","KOSPI","철강금속",403500,-12500,-3,7.614045e+12
"165","002240","고려제강","KOSPI","철강금속",16500,-950,-5.44,3.795e+11
"166","009290","광동제약","KOSPI","의약품",8820,100,1.15,462351905820
"167","017040","광명전기","KOSPI","전기전자",2290,-100,-4.18,99243138350
"168","017900","광전자","KOSPI","전기전자",2435,-90,-3.56,141093062905
"169","037710","광주신세계","KOSPI","유통업",158500,-3000,-1.86,2.536e+11
"170","030610","교보증권","KOSPI","증권",7270,-120,-1.62,470029461920
"171","339770","교촌에프앤비","KOSPI","유통업",17600,-600,-3.3,439692704000
"172","007690","국도화학","KOSPI","화학",55300,1100,2.03,321327064800
"173","005320","국동","KOSPI","유통업",4200,50,1.2,163378341000
"174","001140","국보","KOSPI","운수창고업",2160,65,3.1,106653121200
"175","002720","국제약품","KOSPI","의약품",8530,-160,-1.84,156956435600
"176","083420","그린케미칼","KOSPI","화학",12600,-400,-3.08,3.024e+11
"177","014530","극동유화","KOSPI","화학",3490,-80,-2.24,121694275800
"178","014280","금강공업","KOSPI","철강금속",5140,-50,-0.96,149170576820
"179","014285","금강공업우","KOSPI","철강금속",10300,-150,-1.44,6075712500
"180","008870","금비","KOSPI","비금속광물",65900,-1500,-2.23,6.59e+10
