Date,days_passed,price,vert_barrier,top_barrier,bottom_barrier,out
2000-05-17,92,0.7783273458480835,2000-06-02 00:00:00,0.848754938017835,0.707899753678332,-1
2000-05-18,93,0.7735292911529541,2000-06-05 00:00:00,0.8401148374945535,0.7069437448113547,-1
2000-05-19,94,0.7217042446136475,2000-06-06 00:00:00,0.7860756041824954,0.6573328850447995,-1
2000-05-22,95,0.6905131936073303,2000-06-07 00:00:00,0.7503549755995085,0.6306714116151522,0.8499903115838553
2000-05-23,96,0.6588430404663086,2000-06-08 00:00:00,0.7143760786558917,0.6033100022767255,1
2000-05-24,97,0.6732386350631714,2000-06-09 00:00:00,0.7297526752536584,0.6167245948726844,1
2000-05-25,98,0.6699993014335632,2000-06-12 00:00:00,0.7236699663625245,0.616328636504602,1
2000-05-26,99,0.6631614565849304,2000-06-13 00:00:00,0.7137202609228709,0.61260265224699,1
2000-05-30,100,0.6722790002822876,2000-06-14 00:00:00,0.722316708647826,0.6222412919167492,1
2000-05-31,101,0.6449272036552429,2000-06-15 00:00:00,0.6919790921895277,0.5978753151209582,1
2000-06-01,102,0.6842755675315857,2000-06-16 00:00:00,0.7409885242152269,0.6275626108479445,1
2000-06-02,103,0.7106674313545227,2000-06-19 00:00:00,0.7699988323843353,0.6513360303247101,0.5256989455583044
2000-06-05,104,0.7010703682899475,2000-06-20 00:00:00,0.7569299725131942,0.6452107640667009,1
2000-06-06,105,0.7130665183067322,2000-06-21 00:00:00,0.7678454302615476,0.6582876063519167,1
2000-06-07,106,0.741378128528595,2000-06-22 00:00:00,0.7986275724138485,0.6841286846433414,1
2000-06-08,107,0.7279421091079712,2000-06-23 00:00:00,0.7821475797028437,0.6737366385130987,1
2000-06-09,108,0.7351403832435608,2000-06-26 00:00:00,0.787384032304267,0.6828967341828546,1
2000-06-12,109,0.7001103162765503,2000-06-27 00:00:00,0.7517218379286865,0.6484987946244141,1
2000-06-13,110,0.7255429625511169,2000-06-28 00:00:00,0.7793094719817064,0.6717764531205275,1
2000-06-14,111,0.6943525671958923,2000-06-29 00:00:00,0.7465402903574087,0.642164844034376,1
2000-06-15,112,0.7092279195785522,2000-06-30 00:00:00,0.7610645817244743,0.6573912574326302,1
2000-06-16,113,0.7001103162765503,2000-07-03 00:00:00,0.7490219605570405,0.6511986719960601,1
2000-06-19,114,0.7418578863143921,2000-07-05 00:00:00,0.798434872396221,0.6852809002325632,1
2000-06-20,115,0.7773678302764893,2000-07-06 00:00:00,0.8374764415035656,0.7172592190494129,1
2000-06-21,116,0.8541449308395386,2000-07-07 00:00:00,0.932527221098443,0.7757626405806342,-0.23264295205565017
2000-06-22,117,0.8253528475761414,2000-07-10 00:00:00,0.9015705153610438,0.7491351797912389,0.6799555905206911
2000-06-23,118,0.7936825156211853,2000-07-11 00:00:00,0.8673726625381486,0.719992368704222,1
2000-06-26,119,0.8311116099357605,2000-07-12 00:00:00,0.9072389184792705,0.7549843013922505,0.9581035712314688
2000-06-27,120,0.7946423292160034,2000-07-13 00:00:00,0.8686334570790364,0.7206512013529704,1
2000-06-28,121,0.8359098434448242,2000-07-14 00:00:00,0.9135540415176515,0.7582656453719969,0.6427426874694084
2000-06-29,122,0.786965012550354,2000-07-17 00:00:00,0.8636908593804903,0.7102391657202177,1
2000-06-30,123,0.8042396306991577,2000-07-18 00:00:00,0.8793637585732623,0.7291155028250531,1
2000-07-03,124,0.8186352252960205,2000-07-19 00:00:00,0.8916432775401381,0.745627173051903,1
2000-07-05,125,0.7927231192588806,2000-07-20 00:00:00,0.8623751410931454,0.7230710974246158,1
2000-07-06,126,0.7956018447875977,2000-07-21 00:00:00,0.8620961045346289,0.7291075850405664,1
2000-07-07,127,0.8359098434448242,2000-07-24 00:00:00,0.9065945298959265,0.765225156993722,-1
2000-07-10,128,0.8771774768829346,2000-07-25 00:00:00,0.9511377067039803,0.8032172470618888,-1
2000-07-11,129,0.8742985725402832,2000-07-26 00:00:00,0.9448414439972066,0.8037557010833598,-1
2000-07-12,130,0.9040494561195374,2000-07-27 00:00:00,0.9746574800941861,0.8334414321448886,-1
2000-07-13,131,0.8675809502601624,2000-07-28 00:00:00,0.9376517963363384,0.7975101041839863,-1
2000-07-14,132,0.8858150839805603,2000-07-31 00:00:00,0.9542613407993423,0.8173688271617783,-1
2000-07-17,133,0.8954127430915833,2000-08-01 00:00:00,0.961234860991935,0.8295906251912315,-1
2000-07-18,134,0.8790966272354126,2000-08-02 00:00:00,0.9422066843737649,0.8159865700970603,-1
2000-07-19,135,0.8090377449989319,2000-08-03 00:00:00,0.878353429421378,0.7397220605764858,-1
2000-07-20,136,0.8464668393135071,2000-08-04 00:00:00,0.9197017824931416,0.7732318961338726,-1
2000-07-21,137,0.8224738240242004,2000-08-07 00:00:00,0.8918767614039991,0.7530708866444018,-1
2000-07-24,138,0.747616708278656,2000-08-08 00:00:00,0.8202025048714686,0.6750309116858434,-0.4098826469665309
2000-07-25,139,0.7687299251556396,2000-08-09 00:00:00,0.8417826253933087,0.6956772249179706,-0.5386290191010399
